"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'1515";"Fixed vegetable or microbial fats and oils, incl. jojoba oil, and their fractions, whether ...";594;931;1564;2807;6558;10744;11631;12856;16319;15517;22131;25589;35235;51961;45852;46637;43805;37294;40113;41234
"'7210";"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ...";22994;91663;89380;143108;142162;141191;69186;74040;82201;79774;69431;42024;29500;43075;51373;34353;21354;37758;61678;40973
"'6201";"Men's or boys' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...";27353;25820;26949;36814;38209;39680;42093;48719;56093;60186;44668;45742;44284;51307;55148;68306;83367;65475;68809;40518
"'7019";"Glass fibres, incl. glass wool, and articles thereof (excl. mineral wools and articles thereof, ...";2;49;52;21;94;41;67;24;485;2006;2136;2871;4342;6344;10511;16899;15189;25070;56023;37585
"'3907";"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, ...";570;800;1942;985;1262;1541;937;1289;3688;2198;3469;2168;3884;9016;14417;22543;24740;25283;32345;37205
"'6202";"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...";48639;48787;62277;58681;88050;103977;113622;99103;97129;91067;85603;99937;105339;155914;139749;140041;116768;79808;56572;37036
"'4009";"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their ...";7;12;7;38;61;217;1130;839;898;1520;982;542;1134;1064;602;1000;2819;4611;18178;36827
"'7403";"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)";1732;2086;22376;9757;18018;13924;8762;2177;5119;1498;1254;5049;3303;2730;5858;18559;4243;20480;55610;36702
"'0902";"Tea, whether or not flavoured";1916;2860;4239;5582;6985;9577;8904;12469;20178;17266;20256;23893;22225;28884;27156;44597;37256;28239;32682;35735
"'0711";"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...";18892;15074;15348;18885;22980;27666;24576;24624;30130;35841;40641;44922;39789;36072;32404;34225;32139;27893;37903;35001
"'6907";"Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether ...";345;396;438;362;427;381;1010;394;512;366;522;1542;528;966;8785;15822;14889;15849;30460;33923
"'2520";"Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not ...";3463;4313;5362;5737;6740;7850;5245;5978;5765;7849;12086;12488;10752;11791;12224;13060;20003;24809;34576;33754
"'3303";"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)";268;265;16354;25169;22376;34836;36213;29684;29817;18141;14381;15123;11189;12696;15238;18332;16816;14867;20955;32330
"'5209";"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m�";18606;27702;21006;21600;31750;53037;38242;35915;47344;42053;39717;933;31971;29314;33911;31723;26705;20215;28937;31679
